시도,시군구,연령,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,12세이하,1,0,1,0,0,1
서울,종로구,13-20세,18,0,32,1,19,12
서울,종로구,21-30세,131,2,203,47,124,32
서울,종로구,31-40세,182,3,253,60,165,28
서울,종로구,41-50세,208,0,268,72,172,24
서울,종로구,51-60세,308,2,424,96,276,52
서울,종로구,61-64세,126,2,193,33,134,26
서울,종로구,65세이상,180,4,276,58,189,29
서울,종로구,불명,36,0,39,8,18,13
서울,중구,13-20세,9,0,12,6,5,1
서울,중구,21-30세,118,0,160,46,98,16
서울,중구,31-40세,182,1,226,63,141,22
서울,중구,41-50세,230,1,306,80,187,39
서울,중구,51-60세,368,0,498,123,313,62
서울,중구,61-64세,126,1,192,47,132,13
서울,중구,65세이상,170,1,238,59,152,27
서울,중구,불명,49,0,52,5,34,13
서울,용산구,12세이하,3,0,3,1,1,1
서울,용산구,13-20세,30,0,35,14,13,8
서울,용산구,21-30세,175,4,268,60,186,22
서울,용산구,31-40세,215,2,305,57,235,13
서울,용산구,41-50세,246,1,363,84,259,20
서울,용산구,51-60세,302,4,456,91,328,37
서울,용산구,61-64세,125,1,178,35,135,8
서울,용산구,65세이상,194,0,285,50,215,20
서울,용산구,불명,47,0,56,9,30,17
서울,성동구,12세이하,3,0,3,2,1,0
서울,성동구,13-20세,37,2,44,8,25,11
서울,성동구,21-30세,159,2,234,59,146,29
서울,성동구,31-40세,153,2,210,47,141,22
서울,성동구,41-50세,197,1,278,75,178,25
서울,성동구,51-60세,263,3,363,72,256,35
서울,성동구,61-64세,88,0,118,31,75,12
서울,성동구,65세이상,136,5,208,43,131,34
서울,성동구,불명,40,0,43,7,23,13
서울,동대문구,12세이하,7,0,7,3,2,2
서울,동대문구,13-20세,75,1,82,19,49,14
서울,동대문구,21-30세,201,5,258,66,168,24
서울,동대문구,31-40세,269,3,358,95,232,31
서울,동대문구,41-50세,289,1,356,105,240,11
서울,동대문구,51-60세,431,9,541,155,359,27
서울,동대문구,61-64세,164,1,201,50,140,11
서울,동대문구,65세이상,254,5,308,88,201,19
서울,동대문구,불명,28,0,28,4,17,7
서울,성북구,12세이하,3,0,3,1,2,0
서울,성북구,13-20세,69,1,85,20,53,12
서울,성북구,21-30세,198,2,269,61,192,16
서울,성북구,31-40세,231,1,304,67,212,25
서울,성북구,41-50세,292,3,398,94,284,20
서울,성북구,51-60세,361,2,469,110,334,25
서울,성북구,61-64세,133,1,178,44,127,7
서울,성북구,65세이상,229,7,319,60,242,17
서울,성북구,불명,41,0,43,5,31,7
서울,도봉구,12세이하,7,0,8,1,5,2
서울,도봉구,13-20세,62,1,82,13,46,23
서울,도봉구,21-30세,90,0,112,25,72,15
서울,도봉구,31-40세,127,4,164,53,94,17
서울,도봉구,41-50세,172,1,243,58,167,18
서울,도봉구,51-60세,247,1,321,84,197,40
서울,도봉구,61-64세,87,1,105,26,72,7
서울,도봉구,65세이상,141,1,191,52,121,18
서울,도봉구,불명,11,0,13,4,8,1
서울,은평구,12세이하,4,0,4,2,1,1
서울,은평구,13-20세,61,0,76,14,43,19
서울,은평구,21-30세,96,2,159,34,98,27
서울,은평구,31-40세,136,2,222,36,163,23
서울,은평구,41-50세,174,2,241,74,146,21
서울,은평구,51-60세,281,3,367,77,272,18
서울,은평구,61-64세,104,0,125,38,79,8
서울,은평구,65세이상,165,3,248,58,173,17
서울,은평구,불명,46,0,47,4,34,9
서울,서대문구,12세이하,2,0,2,1,1,0
서울,서대문구,13-20세,48,0,66,14,40,12
서울,서대문구,21-30세,137,2,194,45,116,33
서울,서대문구,31-40세,138,0,198,42,136,20
서울,서대문구,41-50세,174,2,246,59,149,38
서울,서대문구,51-60세,249,3,334,85,220,29
서울,서대문구,61-64세,89,0,126,30,83,13
서울,서대문구,65세이상,163,1,232,52,156,24
서울,서대문구,불명,32,0,32,3,22,7
서울,마포구,12세이하,3,0,3,1,1,1
서울,마포구,13-20세,43,0,62,16,41,5
서울,마포구,21-30세,340,2,525,95,388,42
서울,마포구,31-40세,284,2,419,83,301,35
서울,마포구,41-50세,317,1,505,102,366,37
서울,마포구,51-60세,430,2,649,114,501,34
서울,마포구,61-64세,153,1,242,36,194,12
서울,마포구,65세이상,217,0,305,66,217,22
서울,마포구,불명,72,0,83,14,48,21
서울,강서구,12세이하,8,0,10,0,3,7
서울,강서구,13-20세,79,1,97,22,56,19
서울,강서구,21-30세,203,0,307,73,210,24
서울,강서구,31-40세,241,2,342,80,236,26
서울,강서구,41-50세,273,2,387,98,271,18
서울,강서구,51-60세,414,3,551,143,372,36
서울,강서구,61-64세,142,1,180,45,125,10
서울,강서구,65세이상,193,3,247,51,180,16
서울,강서구,불명,31,0,34,6,24,4
서울,구로구,12세이하,3,0,3,0,2,1
서울,구로구,13-20세,78,0,108,22,70,16
서울,구로구,21-30세,170,2,228,52,161,15
서울,구로구,31-40세,217,5,285,75,185,25
서울,구로구,41-50세,255,2,383,92,265,26
서울,구로구,51-60세,394,3,522,129,357,36
서울,구로구,61-64세,127,0,173,36,123,14
서울,구로구,65세이상,161,0,227,72,146,9
서울,구로구,불명,28,0,31,4,21,6
서울,영등포구,12세이하,12,0,12,1,4,7
서울,영등포구,13-20세,83,2,104,18,64,22
서울,영등포구,21-30세,300,3,447,90,316,41
서울,영등포구,31-40세,383,3,581,105,408,68
서울,영등포구,41-50세,456,1,684,134,477,73
서울,영등포구,51-60세,587,9,916,180,661,75
서울,영등포구,61-64세,186,3,295,56,212,27
서울,영등포구,65세이상,313,1,411,96,272,43
서울,영등포구,불명,66,0,69,6,38,25
서울,동작구,12세이하,3,0,5,0,4,1
서울,동작구,13-20세,73,0,98,16,56,26
서울,동작구,21-30세,174,3,256,56,174,26
서울,동작구,31-40세,200,3,290,59,188,43
서울,동작구,41-50세,276,3,396,93,278,25
서울,동작구,51-60세,337,5,478,88,356,34
서울,동작구,61-64세,122,0,214,48,142,24
서울,동작구,65세이상,177,6,257,55,175,27
서울,동작구,불명,47,0,49,11,35,3
서울,관악구,12세이하,3,0,4,2,2,0
서울,관악구,13-20세,54,0,75,23,39,13
서울,관악구,21-30세,200,2,284,54,193,37
서울,관악구,31-40세,178,2,249,59,164,26
서울,관악구,41-50세,213,6,263,71,171,21
서울,관악구,51-60세,307,0,392,83,274,35
서울,관악구,61-64세,103,0,141,40,91,10
서울,관악구,65세이상,156,1,211,47,150,14
서울,관악구,불명,37,0,40,2,33,5
서울,강남구,12세이하,8,0,8,2,2,4
서울,강남구,13-20세,46,0,73,18,43,12
서울,강남구,21-30세,488,3,743,136,542,65
서울,강남구,31-40세,736,5,1054,198,768,88
서울,강남구,41-50세,626,2,873,182,631,60
서울,강남구,51-60세,776,7,1116,244,758,114
서울,강남구,61-64세,288,1,416,78,300,38
서울,강남구,65세이상,408,1,573,108,410,55
서울,강남구,불명,93,0,103,9,76,18
서울,강동구,12세이하,5,0,5,2,3,0
서울,강동구,13-20세,44,0,50,19,27,4
서울,강동구,21-30세,148,0,216,45,157,14
서울,강동구,31-40세,211,3,296,75,197,24
서울,강동구,41-50세,253,2,343,103,221,19
서울,강동구,51-60세,342,6,492,138,316,38
서울,강동구,61-64세,131,3,186,51,126,9
서울,강동구,65세이상,174,5,221,64,141,16
서울,강동구,불명,63,0,64,15,24,25
서울,송파구,12세이하,26,0,28,3,21,4
서울,송파구,13-20세,125,0,165,36,75,54
서울,송파구,21-30세,321,3,439,106,264,69
서울,송파구,31-40세,432,4,631,143,413,75
서울,송파구,41-50세,522,3,738,164,487,87
서울,송파구,51-60세,612,5,862,189,576,97
서울,송파구,61-64세,255,3,345,88,217,40
서울,송파구,65세이상,362,5,483,104,313,66
서울,송파구,불명,103,0,114,22,59,33
서울,서초구,12세이하,3,0,3,1,2,0
서울,서초구,13-20세,46,0,62,12,42,8
서울,서초구,21-30세,317,1,514,105,360,49
서울,서초구,31-40세,422,5,655,113,493,49
서울,서초구,41-50세,455,6,713,162,506,45
서울,서초구,51-60세,570,5,827,144,629,54
서울,서초구,61-64세,190,0,272,50,209,13
서울,서초구,65세이상,283,4,419,81,312,26
서울,서초구,불명,75,0,83,6,60,17
서울,양천구,12세이하,14,0,15,2,10,3
서울,양천구,13-20세,70,1,83,20,45,18
서울,양천구,21-30세,140,0,182,35,132,15
서울,양천구,31-40세,201,3,266,50,196,20
서울,양천구,41-50세,260,2,352,83,246,23
서울,양천구,51-60세,329,3,457,98,334,25
서울,양천구,61-64세,125,2,167,38,122,7
서울,양천구,65세이상,150,2,212,57,146,9
서울,양천구,불명,54,0,55,3,38,14
서울,중랑구,12세이하,3,0,3,1,0,2
서울,중랑구,13-20세,89,0,115,29,48,38
서울,중랑구,21-30세,224,1,313,74,192,47
서울,중랑구,31-40세,233,0,318,70,204,44
서울,중랑구,41-50세,293,0,410,102,272,36
서울,중랑구,51-60세,395,4,517,138,334,45
서울,중랑구,61-64세,136,0,196,41,138,17
서울,중랑구,65세이상,220,1,301,76,185,40
서울,중랑구,불명,46,0,55,8,36,11
서울,노원구,12세이하,5,0,5,2,2,1
서울,노원구,13-20세,81,0,101,21,56,24
서울,노원구,21-30세,163,2,227,41,162,24
서울,노원구,31-40세,236,1,331,78,220,33
서울,노원구,41-50세,275,2,393,76,288,29
서울,노원구,51-60세,366,4,481,91,360,30
서울,노원구,61-64세,144,0,203,39,150,14
서울,노원구,65세이상,207,2,290,72,199,19
서울,노원구,불명,22,0,24,3,9,12
서울,광진구,12세이하,4,0,6,1,4,1
서울,광진구,13-20세,41,0,47,22,17,8
서울,광진구,21-30세,150,1,192,50,119,23
서울,광진구,31-40세,162,2,227,44,162,21
서울,광진구,41-50세,165,4,218,50,154,14
서울,광진구,51-60세,260,4,360,81,247,32
서울,광진구,61-64세,97,3,143,36,97,10
서울,광진구,65세이상,134,2,191,57,121,13
서울,광진구,불명,51,0,57,11,41,5
서울,강북구,12세이하,5,0,5,1,3,1
서울,강북구,13-20세,76,0,104,22,75,7
서울,강북구,21-30세,162,2,219,59,151,9
서울,강북구,31-40세,184,0,227,50,167,10
서울,강북구,41-50세,204,0,275,67,197,11
서울,강북구,51-60세,282,5,367,79,265,23
서울,강북구,61-64세,122,1,161,39,115,7
서울,강북구,65세이상,145,1,186,46,134,6
서울,강북구,불명,22,0,23,2,19,2
서울,금천구,12세이하,1,0,1,0,0,1
서울,금천구,13-20세,26,0,31,7,22,2
서울,금천구,21-30세,102,0,163,40,108,15
서울,금천구,31-40세,114,0,161,44,105,12
서울,금천구,41-50세,150,0,220,58,148,14
서울,금천구,51-60세,246,1,401,84,286,31
서울,금천구,61-64세,71,3,105,21,73,11
서울,금천구,65세이상,89,2,120,26,84,10
서울,금천구,불명,25,0,26,4,11,11
부산,중구,13-20세,11,0,17,2,12,3
부산,중구,21-30세,35,1,50,12,32,6
부산,중구,31-40세,45,1,60,26,32,2
부산,중구,41-50세,57,0,85,21,62,2
부산,중구,51-60세,99,1,122,43,75,4
부산,중구,61-64세,47,0,56,14,41,1
부산,중구,65세이상,58,1,72,25,44,3
부산,중구,불명,2,0,2,0,2,0
부산,서구,12세이하,1,0,2,1,1,0
부산,서구,13-20세,10,0,13,4,6,3
부산,서구,21-30세,43,0,68,13,52,3
부산,서구,31-40세,62,2,89,22,58,9
부산,서구,41-50세,85,2,106,33,71,2
부산,서구,51-60세,137,1,185,57,121,7
부산,서구,61-64세,30,0,49,11,33,5
부산,서구,65세이상,65,1,98,31,59,8
부산,서구,불명,8,0,10,5,2,3
부산,동구,13-20세,12,0,16,5,9,2
부산,동구,21-30세,50,0,65,14,46,5
부산,동구,31-40세,73,1,100,31,62,7
부산,동구,41-50세,99,0,150,50,91,9
부산,동구,51-60세,143,3,206,70,128,8
부산,동구,61-64세,58,1,69,26,41,2
부산,동구,65세이상,90,1,117,34,74,9
부산,동구,불명,12,0,13,1,12,0
부산,영도구,12세이하,1,0,1,0,1,0
부산,영도구,13-20세,7,1,12,2,9,1
부산,영도구,21-30세,35,0,40,14,26,0
부산,영도구,31-40세,54,2,72,19,51,2
부산,영도구,41-50세,62,0,80,24,52,4
부산,영도구,51-60세,101,1,147,51,91,5
부산,영도구,61-64세,36,0,51,10,40,1
부산,영도구,65세이상,52,0,64,23,36,5
부산,영도구,불명,8,0,8,3,5,0
부산,부산진구,12세이하,1,0,1,1,0,0
부산,부산진구,13-20세,68,1,81,23,37,21
부산,부산진구,21-30세,248,3,359,101,220,38
부산,부산진구,31-40세,234,0,370,102,243,25
부산,부산진구,41-50세,272,4,370,124,228,18
부산,부산진구,51-60세,315,4,417,136,262,19
부산,부산진구,61-64세,131,1,184,64,105,15
부산,부산진구,65세이상,175,7,230,77,137,16
부산,부산진구,불명,38,0,39,7,30,2
부산,동래구,12세이하,3,0,3,1,1,1
부산,동래구,13-20세,47,1,62,16,33,13
부산,동래구,21-30세,124,1,168,46,101,21
부산,동래구,31-40세,147,0,210,56,143,11
부산,동래구,41-50세,172,2,222,63,144,15
부산,동래구,51-60세,245,3,316,98,192,26
부산,동래구,61-64세,72,1,97,32,62,3
부산,동래구,65세이상,118,0,147,47,94,6
부산,동래구,불명,15,0,15,2,12,1
부산,남구,13-20세,34,1,50,16,26,8
부산,남구,21-30세,123,0,165,51,101,13
부산,남구,31-40세,107,2,137,43,80,14
부산,남구,41-50세,180,0,252,86,149,17
부산,남구,51-60세,176,0,243,68,148,27
부산,남구,61-64세,80,0,109,34,65,10
부산,남구,65세이상,115,1,142,48,82,12
부산,남구,불명,10,0,10,1,6,3
부산,북구,12세이하,2,0,3,0,2,1
부산,북구,13-20세,37,0,52,14,34,4
부산,북구,21-30세,105,4,140,32,100,8
부산,북구,31-40세,105,1,132,35,89,8
부산,북구,41-50세,125,1,164,47,105,12
부산,북구,51-60세,208,5,272,76,182,14
부산,북구,61-64세,66,2,94,26,60,8
부산,북구,65세이상,85,4,110,28,77,5
부산,북구,불명,9,0,9,0,6,3
부산,해운대구,12세이하,4,0,4,1,2,1
