"구분(1)",2017,2017,2017,2017,2017,2017,2017
"구분(1)",시내버스,지하철,1주간 평균 대중교통 이용횟수(1회~5회),1주간 평균 대중교통 이용횟수(5회~10회),1주간 평균 대중교통 이용횟수(10회~15회),1주간 평균 대중교통 이용횟수(15회~20회),1주간 평균 대중교통 이용횟수(20회이상)
"전체",57.2,42.8,33.2,38.2,16.3,6.0,6.4
"서울",32.9,67.1,26.0,38.6,19.3,7.7,8.4
"부산",59.2,40.8,33.0,38.7,17.3,5.9,5.0
"인천",54.1,45.9,37.1,38.5,13.7,4.9,5.7
"대구",62.1,37.9,37.9,37.1,15.1,5.1,4.8
"대전",79.9,20.1,42.8,34.1,14.4,3.5,5.2
"광주",87.0,13.0,37.0,41.9,14.6,3.8,2.8
"울산",98.0,2.0,40.3,39.2,14.7,4.1,1.8
"경기",62.3,37.7,31.8,37.4,16.4,6.5,7.9
"강원",98.2,1.8,56.5,36.0,6.3,0.8,0.3
"충북",100.0,0.0,49.4,38.0,8.4,2.3,1.9
"충남",94.2,5.8,52.2,35.8,8.7,2.3,0.9
"전북",100.0,0.0,47.7,40.0,9.8,1.9,0.7
"전남",100.0,0.0,47.2,39.1,11.0,1.9,0.8
"경북",96.1,3.9,54.2,34.5,7.5,2.4,1.4
"경남",96.2,3.8,44.3,39.8,12.2,2.5,1.2
"제주",100.0,0.0,41.0,45.0,11.3,1.3,1.4
"세종",100.0,0.0,47.5,44.2,7.5,0.9,0.0
