구분,일반인,어린이,청소년,기타
서울,"3,711,168","36,098","259,128","417,539"
부산,"869,160","8,097","75,137",-
대구,"468,819","5,548","73,150",51
인천,"634,790","7,271","74,764","58,638"
광주,"204,102","2,624","35,991","3,253"
대전,"231,496","2,139","29,237","9,207"
울산,"131,211","2,559","18,519",210
세종,"20,341",189,"2,147",-
경기,"2,518,216","28,941","269,178","165,303"
강원,"66,733","2,373","15,773",855
충북,"100,188",839,"16,344",-
충남,"116,865","3,636","27,802",310
전북,"100,884",925,"16,638",-
전남,"99,319","1,770","19,034",-
경북,"138,796","2,101","24,918",-
경남,"218,590","2,791","32,391",-
제주,"48,934","1,940","12,134",- 
