행정구역,2017년12월_총인구수,2017년12월_세대수,2017년12월_세대당 인구,2017년12월_남자 인구수,2017년12월_여자 인구수,2017년12월_남여 비율
전국  (0000000000000),"51,778,544","21,632,851",2.39,"25,855,919","25,922,625",1
서울특별시  (1100000000),"9,857,426","4,220,082",2.34,"4,830,206","5,027,220",0.96
부산광역시  (2600000000),"3,470,653","1,467,555",2.36,"1,709,508","1,761,145",0.97
대구광역시  (2700000000),"2,475,231","1,006,753",2.46,"1,227,814","1,247,417",0.98
인천광역시  (2800000000),"2,948,542","1,188,917",2.48,"1,479,597","1,468,945",1.01
광주광역시  (2900000000),"1,463,770","592,818",2.47,"725,295","738,475",0.98
대전광역시  (3000000000),"1,502,227","614,639",2.44,"750,969","751,258",1
울산광역시  (3100000000),"1,165,132","458,547",2.54,"599,480","565,652",1.06
세종특별자치시  (3600000000),"280,100","109,490",2.56,"139,734","140,366",1
경기도  (4100000000),"12,873,895","5,131,379",2.51,"6,475,323","6,398,572",1.01
강원도  (4200000000),"1,550,142","700,265",2.21,"780,635","769,507",1.01
충청북도  (4300000000),"1,594,432","692,140",2.3,"805,091","789,341",1.02
충청남도  (4400000000),"2,116,770","923,499",2.29,"1,076,270","1,040,500",1.03
전라북도  (4500000000),"1,854,607","797,916",2.32,"922,307","932,300",0.99
전라남도  (4600000000),"1,896,424","851,376",2.23,"948,290","948,134",1
경상북도  (4700000000),"2,691,706","1,193,261",2.26,"1,353,164","1,338,542",1.01
경상남도  (4800000000),"3,380,404","1,406,011",2.4,"1,701,413","1,678,991",1.01
제주특별자치도  (5000000000),"657,083","278,203",2.36,"330,823","326,260",1.01
